Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Guatemala,"100,856","115,816","114,192","183,494","193,156","222,066","250,048","232,719","280,631","252,960","258,298","294,677","341,904","349,078","383,373","455,343","547,298","676,626","834,549","685,902","799,933","1,033,823","973,650","951,632","1,123,156","1,073,218"
Peru,"160,175","160,945","170,277","195,249","207,365","298,462","308,718","192,469","362,349","290,640","170,316","212,518","213,871","237,035","302,618","212,560","208,812","437,719","424,479","518,351","757,176","843,815","546,947","718,214","1,212,882","1,063,629"
Egypt,"687,386","686,770","752,817","646,554","850,670","1,309,344","1,256,550","964,291","904,577","966,455","1,049,540","1,022,220","862,591","966,590","935,094","818,526","1,021,884","1,801,436","2,050,080","1,354,341","2,095,482","2,507,071","1,868,195","1,647,663","1,717,247","1,021,936"
Italy(*),"714,718","678,388","675,214","601,920","545,321","699,701","789,165","756,940","684,451","496,809","551,875","567,923","546,244","494,423","514,272","566,421","502,771","688,237","828,892","715,414","717,257","873,244","755,890","1,075,119","1,075,919","998,582"
Malaysia,"124,416","154,675","167,285","198,895","231,879","536,781","614,115","478,351","284,279","310,634","289,706","377,208","367,717","379,524","377,709","394,269","409,939","562,992","594,781","695,297","722,547","1,014,335","883,363","1,033,847","963,425","840,048"
Chile,"62,931","71,554","93,832","109,365","103,002","169,434","126,271","126,471","135,104","152,104","116,313","98,430","111,238","144,111","116,087","145,212","296,216","391,521","454,612","246,074","420,748","572,107","696,864","902,095","858,723","810,547"
Belgium-Luxembourg(*),"377,951","473,346","482,974","482,033","491,684","638,826","718,975","667,784","636,689","542,324","545,491","624,023","566,738","646,345","550,124","580,412","560,590","634,766","575,389","553,937","792,911","679,933","686,313","657,795","703,867","732,134"
Brazil,"176,861","255,183","150,115","205,816","487,031","521,812","574,459","532,950","486,025","212,158","264,179","221,382","329,544","383,920","279,408","228,349","287,027","410,843","676,901","386,417","576,819","801,297","526,136","1,899,523","1,421,496","690,201"
Venezuela,"354,241","318,964","444,830","484,448","398,358","477,450","474,259","570,709","511,287","417,667","406,790","409,517","340,843","371,307","378,775","409,370","400,011","602,794","1,597,991","954,585","1,105,149","1,225,319","1,692,477","1,546,405","1,276,027","674,928"
Singapore,"172,455","193,258","208,038","228,693","266,728","293,644","283,956","278,647","212,909","209,890","233,714","223,059","240,449","266,327","257,858","282,107","302,540","374,161","485,182","444,927","495,713","618,192","691,739","754,725","794,260","674,389"
Nigeria,"36,119","36,379","67,828","140,336","68,204","116,752","176,661","114,739","150,441","172,247","177,624","243,105","301,704","314,402","435,943","559,843","499,427","716,689","1,039,885","830,121","937,774","1,276,288","1,061,984","1,085,334","847,111","666,515"
Costa Rica,"93,516","87,196","107,819","144,036","162,661","165,787","218,456","190,130","200,865","179,066","185,715","199,028","225,622","242,175","282,551","297,877","320,091","433,172","607,968","463,769","493,122","658,843","630,001","485,386","609,988","657,731"
Panama,"87,990","95,814","112,776","109,352","127,521","126,081","147,862","162,834","226,241","187,294","171,817","176,845","185,370","190,801","162,315","199,983","206,045","303,516","429,640","361,978","444,563","493,657","489,625","641,159","655,311","653,206"
Honduras,"64,613","85,386","72,476","84,546","79,806","104,192","124,753","153,226","175,235","183,386","195,151","198,075","183,812","198,452","220,434","248,665","323,062","393,492","508,519","443,313","461,430","631,715","604,360","577,192","634,713","586,792"
France(*),"527,542","574,748","586,001","585,195","441,860","524,497","509,225","565,211","485,053","356,954","328,944","386,591","390,544","424,448","416,651","444,990","464,933","512,876","567,310","385,238","559,248","520,671","455,875","618,957","618,457","585,134"
El Salvador,"96,547","105,273","115,984","147,662","127,623","171,636","190,712","228,010","243,568","199,777","215,136","241,069","211,023","238,961","244,815","238,594","273,898","343,364","450,743","379,231","428,287","604,041","510,982","470,967","536,260","497,741"
Bangladesh,"104,794","94,280","117,862","65,474","157,185","217,154","87,967","120,535","159,688","118,393","81,062","134,175","127,158","83,484","105,957","77,673","79,562","199,608","172,688","168,191","283,509","434,275","179,976","252,460","364,497","495,168"
Switzerland(*),"174,613","211,362","161,760","151,190","180,060","210,993","234,516","516,877","205,301","420,743","352,202","545,770","491,896","251,185","151,575","167,896","219,396","259,711","369,359","330,987","254,388","338,178","299,685","467,184","395,964","466,471"
Israel(*),"304,591","297,794","362,550","330,213","384,469","481,307","617,975","537,479","364,517","423,298","482,691","427,716","464,443","425,776","483,228","308,894","416,093","606,352","844,727","459,124","646,176","887,258","628,612","628,797","702,981","464,113"
Pakistan,"337,914","150,208","267,445","190,872","244,898","458,289","344,854","448,654","187,526","87,727","56,341","135,058","193,858","233,219","299,739","219,355","193,370","351,244","314,687","308,002","350,702","501,842","306,355","373,635","249,312","445,563"
Russia,0,0,"1,129,442","1,224,263","649,065","1,027,862","1,326,297","1,199,910","834,113","727,607","580,285","916,669","551,564","578,594","801,982","972,187","820,176","1,328,537","1,838,141","1,429,213","1,132,419","1,240,519","1,654,760","1,207,971","899,671","425,938"
New Zealand(*),"59,472","52,892","62,333","80,641","77,498","100,192","91,361","114,111","128,238","100,900","98,906","109,999","104,991","143,274","118,109","181,556","165,437","209,591","220,263","232,424","257,023","303,215","376,690","396,300","459,714","400,393"
Ireland,"147,324","194,834","199,835","191,598","203,621","241,969","217,830","232,748","273,268","202,134","286,927","241,488","212,935","217,964","263,686","251,924","298,643","314,165","382,060","273,516","341,678","362,214","347,419","480,280","499,081","393,867"
Trinidad and Tobago,"89,966","94,461","82,992","90,070","97,177","105,020","129,077","111,445","106,625","100,476","105,890","114,103","117,638","114,422","150,358","143,304","165,420","214,116","291,746","270,462","294,455","315,604","343,873","387,232","402,743","381,261"
